canonical_id,name,pathway,carbon_substrates,carbon_products,reversible,symmetry,validation_status,primary_source,source_identifier,aliases,tests
acetate.acetate_to_acetylcoa,acetate activation to acetyl-CoA carbon skeleton,acetate -> acetyl-CoA,acetate,acetyl_coa,true,none,curated,mfapy 0.6.3 Example_2 E. coli model,r49,ACS;ACKr,tests/test_carbon_transitions.py
anaplerosis.pep_carboxykinase,phosphoenolpyruvate carboxykinase carbon transition,anaplerosis and cataplerosis,oxaloacetate,phosphoenolpyruvate+carbon_dioxide,true,none,curated,mfapy 0.6.3 Example_2 E. coli model,r41,PPCK,tests/test_carbon_transitions.py
anaplerosis.pep_carboxylase,phosphoenolpyruvate carboxylase,anaplerosis and cataplerosis,phosphoenolpyruvate+carbon_dioxide,oxaloacetate,false,none,curated,mfapy 0.6.3 Example_2 E. coli model,r40,PPC,tests/test_carbon_transitions.py
anaplerosis.pyruvate_carboxylase,pyruvate carboxylase,anaplerosis and cataplerosis,pyruvate+carbon_dioxide,oxaloacetate,false,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r27_pc,PC,tests/test_carbon_transitions.py
antoniewicz.table5.v1.citrate_synthase,oxaloacetate + acetyl-CoA to citrate (Antoniewicz Table 5 v1),TCA cycle,oxaloacetate+acetyl_coa,citrate,false,none,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v1,v1;CS,tests/test_carbon_transitions.py
antoniewicz.table5.v2.citrate_to_akg,citrate to alpha-ketoglutarate + CO2 (Antoniewicz Table 5 v2),TCA cycle,citrate,alpha_ketoglutarate+carbon_dioxide,false,none,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v2,v2;ICDHyr,tests/test_carbon_transitions.py
antoniewicz.table5.v3.akg_to_glutamate,alpha-ketoglutarate to glutamate (Antoniewicz Table 5 v3),TCA cycle,alpha_ketoglutarate,glutamate,false,none,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v3,v3,tests/test_carbon_transitions.py
antoniewicz.table5.v4.akg_to_succinate,alpha-ketoglutarate to succinate + CO2 (Antoniewicz Table 5 v4),TCA cycle,alpha_ketoglutarate,succinate+carbon_dioxide,false,succinate is rotationally symmetric downstream,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v4,v4;AKGDH,tests/test_carbon_transitions.py
antoniewicz.table5.v5.succinate_to_fumarate,succinate to fumarate (Antoniewicz Table 5 v5),TCA cycle,succinate,fumarate,false,Antoniewicz Table 5 equal 0.5 forward/reverse orientations; both endpoint skeletons symmetric,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v5,v5;SUCDi,tests/test_carbon_transitions.py
antoniewicz.table5.v6.fumarate_to_oaa,fumarate to oxaloacetate (Antoniewicz Table 5 v6),TCA cycle,fumarate,oxaloacetate,false,Antoniewicz Table 5 0.5 / 0.5 symmetric fumarate input orientations,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v6,v6,tests/test_carbon_transitions.py
antoniewicz.table5.v7.oaa_to_fumarate,oxaloacetate to fumarate (Antoniewicz Table 5 v7),TCA cycle,oxaloacetate,fumarate,false,Antoniewicz Table 5 0.5 / 0.5 symmetric fumarate product orientations,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v7,v7,tests/test_carbon_transitions.py
antoniewicz.table5.v8.aspartate_to_oaa,aspartate to oxaloacetate (Antoniewicz Table 5 v8),TCA cycle,aspartate,oxaloacetate,false,none,gold,"Antoniewicz, Kelleher & Stephanopoulos, Metabolic Engineering (2007)",Table 5 v8,v8,tests/test_carbon_transitions.py
cataplerosis.malic_enzyme,malic enzyme carbon transition,anaplerosis and cataplerosis,malate,pyruvate+carbon_dioxide,false,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r28_mae,ME1;ME2,tests/test_carbon_transitions.py
citrate_acetylcoa.atp_citrate_lyase,ATP-citrate lyase carbon transition,citrate export / ATP-citrate lyase,citrate,acetyl_coa+oxaloacetate,false,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r82_acl,ACLY;ACL,tests/test_carbon_transitions.py
glutaminolysis.glutamate_dehydrogenase,glutamate dehydrogenase carbon skeleton transition,glutamine / glutamate / alpha-ketoglutarate entry,glutamate,alpha_ketoglutarate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r49_gludh/r50_gludh,GLUDy;GLUDH,tests/test_carbon_transitions.py
glutaminolysis.glutaminase,glutaminase carbon skeleton transition,glutamine / glutamate / alpha-ketoglutarate entry,glutamine,glutamate,true,none,curated,mfapy 0.6.3 Example_3 MCF7 model,r47_gls,GLS,tests/test_carbon_transitions.py
glycolysis.2pg_to_pep,enolase carbon skeleton transition,glycolysis,phosphoglycerate_2,phosphoenolpyruvate,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,ENO,ENO,tests/test_carbon_transitions.py
glycolysis.3pg_to_2pg,phosphoglycerate mutase carbon skeleton transition,glycolysis,phosphoglycerate_3,phosphoglycerate_2,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,PGM,PGM,tests/test_carbon_transitions.py
glycolysis.bpg_to_3pg,phosphoglycerate kinase carbon skeleton transition,glycolysis,bisphosphoglycerate_1_3,phosphoglycerate_3,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,PGK,PGK,tests/test_carbon_transitions.py
glycolysis.fructose_bisphosphate_aldolase,fructose-bisphosphate aldolase,glycolysis,fructose_1_6_bisphosphate,dihydroxyacetone_phosphate+glyceraldehyde_3_phosphate,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,FBA,FBA,tests/test_carbon_transitions.py
glycolysis.gap_to_bpg,glyceraldehyde-3-phosphate dehydrogenase carbon skeleton transition,glycolysis,glyceraldehyde_3_phosphate,bisphosphoglycerate_1_3,true,none,curated,FluxEMU antoniewicz_tca_glucose frozen synthetic glycolysis,GAPD,GAPD,tests/test_carbon_transitions.py
