display_name,requested_carbon_count,canonical/root_pool_id,target_type,mapping_source,source_complete,notes
Pyruvate,3,pyr_c,physical_pool,Stage B2 metabolite_crosswalk.csv: pyr_c/Pyr exact,true,Explicit physical isotope pool.
Alanine,3,pyr_c,observation_overlay,Stage B2 reaction_crosswalk.csv: alanine_reporter; Example_2:r58,true,Observation-only Pyr ABC -> Ala ABC reporter.
Lactate,3,pyr_c,observation_overlay,R1 12-target observation extension; Example_7:r41_ldh,true,Observation-only Pyr ABC -> Lac ABC; no LDH_D flux required.
Citrate,6,accoa_c + oaa_c,observation_overlay,R1 12-target observation extension; Example_7:r17_cs,true,Target-only AcCOA AB + Oxa CDEF -> Cit FEDBAC condensation; Stage B2 IsoCit lump unchanged.
AKG,5,akg_c,physical_pool,Stage B2 metabolite_crosswalk.csv: akg_c/aKG exact,true,Explicit physical isotope pool including the approved biomass Glu-to-aKG component.
Succinate,4,succ_c,physical_pool,Stage B2 target_ancestry.csv: Suc_1:2:3:4,true,Explicit symmetric physical pool; both approved transports remain distinct.
Fumarate,4,fum_c,physical_pool,Stage B2 metabolite_crosswalk.csv: fum_c/Fum exact_symmetric,true,Explicit symmetric physical isotope pool.
Malate,4,mal__L_c,physical_pool,Stage B2 target_ancestry.csv: Mal_1:2:3:4,true,Explicit physical isotope pool.
Glutamine,5,gln__L_c,physical_pool,Stage B2 metabolite_crosswalk.csv: gln__L_c/Gln exact; Example_3,true,Explicit physical isotope pool; not substituted with glutamate.
Aspartate,4,oaa_c,observation_overlay,Stage B2 reaction_crosswalk.csv: aspartate_reporter; Example_2:r59,true,Observation-only OAA ABCD -> Asp ABCD reporter.
Glycine,2,"3pg_c positions 1,2",observation_overlay,R1 12-target observation extension; Example_2:r67+r68,true,Composed PGA ABC -> Ser ABC -> Gly AB + MEETHF C; no physical flux or folate dynamics.
Serine,3,3pg_c,observation_overlay,R1 12-target observation extension; Example_2:r67,true,Observation-only PGA ABC -> Ser ABC.
